cgpa,tenth_percent,twelfth_percent,backlogs,internships,projects,certifications,communication_skill,coding_skill,aptitude_score,technical_skill_score,extracurricular,ats_score,academic_score,experience_score,skill_score,placed
5.89,75.4,66.3,0,1,3,0,3,5,77.2,51.7,3,48.9,0.6491,0.3467,0.5216,0
6.8,64.4,100.0,0,0,0,1,2,3,84.9,67.6,0,43.6,0.7509,0.04,0.4346,0
6.92,72.9,56.1,0,0,4,4,6,5,34.8,53.0,1,58.3,0.6684,0.4,0.4845,1
5.54,66.3,83.1,2,0,2,1,7,5,48.7,66.4,1,57.6,0.6506,0.16,0.5561,0
6.12,91.4,48.1,0,0,2,0,5,7,41.5,49.1,0,56.7,0.6544,0.12,0.5546,0
6.25,78.6,64.8,0,0,1,0,6,5,66.7,45.2,1,51.4,0.6711,0.06,0.58,0
9.9,80.0,50.5,4,1,3,2,4,4,77.6,41.4,1,54.2,0.8214,0.4267,0.5127,0
9.18,45.0,71.3,0,0,3,2,6,6,51.4,66.7,0,84.8,0.75,0.26,0.5741,1
6.75,71.2,68.7,0,0,2,2,7,4,51.3,48.6,0,59.9,0.6872,0.2,0.524,0
6.8,97.0,64.0,2,0,1,4,4,5,22.8,20.0,0,65.5,0.7425,0.22,0.3883,0
5.94,87.9,82.2,3,0,2,0,7,7,40.8,65.8,1,63.4,0.7221,0.12,0.6125,0
5.1,49.8,60.6,0,0,2,0,2,2,85.1,39.2,1,51.9,0.5312,0.12,0.3954,0
7.07,68.2,72.2,0,2,1,1,4,3,66.9,58.3,0,64.7,0.7048,0.4333,0.4406,1
6.1,57.6,78.7,0,1,3,1,6,4,74.7,35.8,3,55.4,0.6457,0.3867,0.564,1
7.11,92.5,48.7,0,0,1,0,8,4,51.4,55.3,0,32.5,0.7085,0.06,0.5543,0
5.44,74.9,58.3,0,1,3,1,5,7,53.1,20.0,0,44.5,0.605,0.3867,0.5893,1
6.36,62.8,68.7,0,0,2,3,3,2,58.3,54.4,1,90.9,0.6468,0.24,0.345,0
7.36,72.4,76.2,1,1,2,0,8,4,63.8,40.1,0,76.0,0.7397,0.2867,0.5915,0
7.6,45.0,86.5,1,3,4,4,5,3,82.8,33.4,4,49.6,0.7088,0.9,0.5183,1
7.66,59.0,65.2,3,0,2,4,6,8,45.9,68.0,2,67.1,0.6934,0.28,0.6377,1
5.75,72.4,63.9,2,0,1,2,4,6,55.5,53.0,1,58.9,0.6282,0.14,0.5265,0
8.14,82.1,56.7,0,1,2,3,5,5,43.7,50.9,4,86.4,0.754,0.4067,0.4812,1
6.32,48.7,72.3,0,0,2,2,4,6,22.6,42.7,1,52.7,0.6185,0.2,0.4277,1
7.9,67.4,64.1,0,0,3,1,9,2,74.6,70.2,2,59.0,0.7237,0.22,0.5737,1
7.19,84.1,64.4,0,1,3,2,7,9,89.5,47.6,1,40.7,0.7308,0.4267,0.8384,1
5.69,54.6,66.8,0,1,3,0,8,3,71.8,80.3,0,52.6,0.5877,0.3467,0.5753,1
6.85,74.8,75.2,1,0,5,1,4,7,62.1,75.9,1,15.0,0.7174,0.34,0.5864,1
7.6,72.8,60.7,0,2,1,3,2,6,91.4,79.2,1,59.7,0.7138,0.5133,0.5741,1
7.87,92.6,58.0,0,0,1,2,4,5,66.3,71.5,4,73.1,0.77,0.14,0.5188,1
7.04,69.2,73.6,0,0,1,1,10,7,72.4,44.7,0,85.5,0.7094,0.1,0.7973,1
8.88,69.9,40.0,4,1,2,2,4,6,60.5,55.9,0,63.7,0.7191,0.3667,0.5416,0
8.31,82.3,60.2,1,1,1,5,7,5,63.3,51.5,1,48.4,0.7714,0.4267,0.5999,1
6.92,56.1,53.0,0,1,0,0,3,4,55.6,69.2,1,40.2,0.6187,0.1667,0.4168,0
8.03,69.3,83.6,0,1,5,1,4,5,73.0,54.8,1,46.4,0.7837,0.5067,0.539,1
9.33,66.5,62.3,2,1,1,0,5,4,38.4,50.9,1,26.2,0.7884,0.2267,0.4251,0
9.36,70.3,60.7,0,2,1,4,9,5,65.5,83.2,1,50.5,0.7954,0.5533,0.6666,1
5.85,82.2,67.4,1,1,2,2,7,7,42.6,49.4,0,32.9,0.6663,0.3667,0.6179,1
6.18,78.6,60.3,1,0,1,0,1,5,67.2,44.4,2,44.2,0.6563,0.06,0.4315,0
8.83,63.0,62.8,1,1,0,2,6,5,100.0,48.2,1,51.3,0.7561,0.2467,0.68,1
6.04,73.6,69.3,0,0,1,2,3,3,70.6,73.2,3,60.9,0.6591,0.14,0.4218,0
5.75,89.9,62.5,2,1,1,0,4,5,79.1,58.2,1,25.3,0.6683,0.2267,0.5574,0
6.67,62.0,62.4,0,0,3,3,6,1,74.2,62.8,3,48.8,0.6444,0.3,0.4427,1
7.66,73.7,54.9,0,1,2,2,8,3,20.0,59.0,3,67.3,0.7046,0.3667,0.42,1
7.09,69.7,53.0,0,1,3,0,7,6,55.6,20.0,1,80.2,0.6611,0.3467,0.6169,1
6.48,71.2,68.8,0,1,3,4,6,6,66.1,36.8,2,53.7,0.6743,0.5067,0.6182,1
6.46,52.4,72.0,0,0,3,0,6,4,20.4,50.3,0,94.5,0.634,0.18,0.4012,0
6.42,88.9,49.4,1,0,4,0,7,5,52.9,60.4,0,67.6,0.6667,0.24,0.5687,0
6.23,62.7,77.9,2,2,2,1,2,5,56.6,38.3,2,56.1,0.6631,0.4933,0.4297,0
9.71,84.3,77.9,0,3,1,0,8,6,35.8,37.7,0,77.4,0.8911,0.56,0.5875,1
7.53,64.5,80.7,2,1,0,2,4,4,40.5,49.7,2,45.9,0.7394,0.2467,0.4016,0
8.18,64.5,71.9,4,0,1,1,5,3,82.1,77.5,0,36.1,0.7498,0.1,0.5162,0
6.66,86.6,76.3,0,0,3,0,4,5,20.0,20.0,0,71.7,0.7402,0.18,0.38,0
7.0,83.9,96.4,1,1,2,5,3,8,62.9,20.0,1,64.6,0.8006,0.4867,0.5987,1
6.42,74.5,64.1,4,0,1,1,6,3,78.9,84.5,3,73.8,0.6672,0.1,0.5368,0
4.28,81.1,54.4,1,2,1,1,5,4,57.5,29.0,2,73.4,0.553,0.4333,0.4825,0
5.68,68.5,48.1,0,1,3,1,5,4,83.4,48.1,2,91.2,0.5757,0.3867,0.5601,1
5.21,71.9,90.8,2,0,2,3,5,9,50.3,29.5,2,28.9,0.6672,0.24,0.6609,0
4.73,64.1,91.0,1,0,1,0,8,3,41.7,49.9,2,48.6,0.6239,0.06,0.4851,0
5.89,82.8,56.0,0,0,3,0,9,4,57.8,52.7,0,49.8,0.6413,0.18,0.6035,1
8.66,63.7,58.5,0,1,3,3,7,4,51.1,82.4,3,76.0,0.7384,0.4667,0.5234,1
7.15,89.8,63.8,0,1,2,0,5,2,47.7,67.3,1,61.7,0.7416,0.2867,0.3731,0
8.62,68.2,83.9,0,0,2,3,2,2,54.8,33.2,1,76.1,0.8113,0.24,0.3043,0
7.65,72.2,51.3,0,1,2,2,6,6,43.7,22.6,2,60.1,0.6914,0.3667,0.5512,1
8.06,81.1,42.4,0,0,1,3,6,6,42.9,63.5,3,54.7,0.7119,0.18,0.5488,1
6.21,72.3,96.2,2,1,5,0,6,3,37.8,46.2,1,67.3,0.7316,0.4667,0.4134,1
7.78,68.4,72.1,1,2,3,4,3,7,65.5,42.7,1,59.7,0.74,0.6733,0.5665,1
8.0,71.6,73.9,0,0,2,1,7,1,40.0,75.1,1,62.0,0.7639,0.16,0.3701,1
6.57,82.7,65.3,0,0,2,0,8,2,35.6,25.1,0,66.7,0.6984,0.12,0.4269,0
7.82,64.0,74.1,0,2,5,3,3,3,38.7,48.8,1,62.8,0.736,0.7533,0.326,1
7.82,70.5,48.3,0,0,0,0,6,4,61.7,65.7,2,72.7,0.6881,0.0,0.5251,0
6.6,72.1,57.1,1,0,0,1,4,4,70.0,34.9,1,55.9,0.6528,0.04,0.4901,0
5.96,82.4,69.4,0,2,3,2,5,4,71.5,77.1,0,58.1,0.6776,0.5933,0.5246,1
5.9,70.8,40.0,3,1,1,0,3,5,61.9,37.8,1,37.0,0.5719,0.2267,0.4756,0
7.3,93.7,64.1,0,2,2,1,4,7,67.6,53.8,0,72.7,0.7592,0.4933,0.6029,1
7.56,70.1,63.3,0,1,2,1,4,6,57.0,43.2,1,85.8,0.7115,0.3267,0.531,1
6.33,69.1,64.1,2,1,1,1,6,5,66.2,20.0,2,22.6,0.6494,0.2667,0.5786,0
7.23,69.9,60.8,0,0,1,2,7,4,65.9,47.9,0,66.5,0.6884,0.14,0.5678,1
7.83,56.2,55.1,0,0,3,2,7,7,44.9,68.5,3,52.4,0.6695,0.26,0.6246,1
7.88,59.6,44.3,0,1,1,1,4,8,38.6,37.4,2,51.7,0.6537,0.2667,0.5559,0
8.91,65.6,69.9,1,0,1,1,6,6,82.3,44.3,0,66.3,0.7841,0.1,0.667,0
8.6,85.6,64.1,0,1,2,1,3,4,60.3,46.2,0,54.5,0.8046,0.3267,0.4308,1
6.1,71.6,50.1,2,0,1,1,5,5,76.9,64.1,0,62.1,0.6092,0.1,0.5808,0
9.05,66.2,68.8,1,0,2,0,5,6,38.2,48.9,3,48.5,0.7901,0.12,0.5046,0
6.62,86.7,64.2,2,1,5,2,3,3,50.7,55.4,0,82.1,0.708,0.5467,0.3621,1
8.35,90.6,62.0,1,1,3,0,6,6,33.2,55.6,1,50.8,0.799,0.3467,0.5197,1
7.27,87.1,40.0,1,0,2,2,5,5,69.6,46.1,2,41.3,0.6814,0.2,0.5589,0
6.75,61.8,76.9,1,1,2,0,5,7,46.9,83.7,0,61.2,0.6839,0.2867,0.5708,0
5.21,66.1,52.0,0,0,5,0,7,3,48.0,37.6,1,40.0,0.5556,0.3,0.4741,1
7.01,93.8,68.8,1,0,3,1,4,1,93.2,67.0,0,59.2,0.757,0.22,0.4396,0
5.48,74.9,57.5,1,2,3,1,7,4,70.0,76.7,2,84.6,0.6052,0.5533,0.58,1
8.26,68.8,62.9,0,2,1,2,8,5,69.8,52.6,4,54.2,0.7425,0.4733,0.6493,1
8.87,80.6,83.0,1,0,1,2,7,1,36.4,56.0,4,30.6,0.8524,0.14,0.3591,1
6.32,84.1,74.9,0,0,1,5,5,3,24.6,64.0,0,47.5,0.7137,0.26,0.3437,1
7.53,65.1,82.7,0,2,1,1,3,7,75.5,48.7,2,69.6,0.7462,0.4333,0.5964,1
6.4,74.6,72.3,0,1,0,0,4,6,20.0,22.8,1,56.9,0.6874,0.1667,0.42,0
6.51,83.1,73.1,0,0,3,3,2,5,49.0,50.8,3,67.6,0.7161,0.3,0.4069,1
8.05,58.1,44.8,0,0,1,2,6,2,43.4,83.0,1,43.6,0.6599,0.14,0.3902,1
7.16,72.1,63.9,0,0,1,0,6,7,41.3,64.7,1,47.6,0.6979,0.06,0.584,0
9.11,58.6,65.1,0,1,3,0,5,4,50.1,56.3,1,66.4,0.7649,0.3467,0.4602,1
6.67,60.2,83.9,0,1,4,1,3,5,39.0,67.9,3,84.0,0.6937,0.4467,0.407,1
8.3,65.2,61.4,1,0,1,1,4,5,36.1,52.5,2,48.0,0.7316,0.1,0.4283,0
7.31,77.7,71.4,0,0,1,2,7,5,62.6,55.5,0,55.7,0.7383,0.14,0.5978,1
8.08,68.1,70.9,4,0,3,1,6,7,77.2,47.7,3,74.8,0.7514,0.22,0.6916,0
6.71,64.2,83.0,2,1,5,4,6,6,26.7,63.1,2,57.4,0.7036,0.6267,0.5002,1
7.15,72.6,66.3,0,2,2,2,10,5,61.5,45.9,0,66.5,0.7045,0.5333,0.6846,1
7.07,58.2,78.8,0,1,2,3,6,4,67.7,49.6,1,41.7,0.6961,0.4067,0.5432,1
6.28,77.1,45.8,0,1,2,0,1,5,66.0,69.9,0,55.1,0.6215,0.2867,0.4281,0
7.93,85.6,47.0,0,0,3,2,3,4,54.0,51.7,1,43.8,0.7279,0.26,0.4121,1
7.92,71.0,40.0,0,1,1,3,6,5,47.3,64.6,1,24.7,0.6734,0.3467,0.5218,1
7.85,69.6,78.2,1,0,2,0,5,4,71.7,66.0,4,39.1,0.7621,0.12,0.525,0
8.89,76.5,76.8,1,0,3,2,5,4,64.0,53.7,0,63.1,0.8276,0.26,0.5021,0
8.79,47.7,79.7,0,1,3,1,5,3,23.9,49.1,1,64.9,0.758,0.3867,0.3417,1
6.79,78.4,59.2,1,2,1,1,4,4,54.0,32.6,0,68.8,0.6835,0.4333,0.4421,0
7.61,100.0,60.7,0,0,3,3,6,4,59.0,36.4,0,64.2,0.7822,0.3,0.517,1
6.51,70.5,66.4,2,1,2,2,8,8,38.3,65.4,2,51.0,0.6681,0.3667,0.6749,0
7.23,70.6,86.8,3,2,1,3,8,6,53.6,65.0,2,22.0,0.7546,0.5133,0.6409,1
6.54,80.9,90.0,0,1,1,1,8,4,66.8,38.2,3,34.4,0.7544,0.2667,0.6005,1
8.98,91.7,78.3,1,1,1,3,3,4,43.1,61.7,1,74.9,0.8743,0.3467,0.3793,0
7.6,83.7,72.3,2,0,5,2,5,6,62.2,58.7,0,39.8,0.77,0.38,0.5766,1
6.96,46.1,85.4,0,2,1,0,4,8,40.2,70.9,1,53.7,0.6767,0.3933,0.5606,1
8.51,78.8,64.7,0,0,3,3,6,6,35.7,91.8,1,56.1,0.7842,0.3,0.5272,1
4.81,100.0,62.9,1,0,2,0,5,1,69.1,64.8,1,30.1,0.6479,0.12,0.3972,0
4.98,79.5,66.3,0,0,3,0,5,6,79.1,43.3,0,61.0,0.6137,0.18,0.6274,1
8.08,58.1,55.3,0,1,5,3,8,7,36.7,67.6,3,82.5,0.6873,0.5867,0.6301,1
7.27,75.4,65.7,1,1,4,0,5,9,75.2,37.3,3,54.7,0.7161,0.4067,0.7355,1
7.48,56.6,53.5,0,2,3,0,5,4,57.8,92.8,2,50.2,0.649,0.5133,0.4833,1
5.74,86.8,81.3,0,1,2,0,6,5,20.0,34.2,0,34.1,0.7073,0.2867,0.44,1
7.17,60.5,75.1,4,3,1,3,6,5,32.2,62.5,1,50.1,0.6977,0.68,0.4765,1
9.4,72.9,86.6,0,1,1,0,6,3,68.9,55.0,2,64.7,0.8689,0.2267,0.5068,1
8.11,61.7,46.8,0,1,2,1,8,3,28.8,48.0,1,54.9,0.6766,0.3267,0.4463,1
7.39,65.4,92.7,1,0,1,1,3,5,46.9,46.9,1,47.1,0.7647,0.1,0.4306,0
6.72,89.8,47.6,0,0,2,1,6,1,56.5,78.2,2,73.1,0.6793,0.16,0.3896,0
6.77,73.2,52.4,1,1,0,1,5,2,66.1,64.6,0,50.3,0.6525,0.2067,0.4282,0
4.86,65.3,59.9,1,1,3,3,4,6,61.3,52.4,0,47.3,0.5559,0.4667,0.544,0
7.48,58.3,85.0,0,0,1,3,6,5,86.2,84.4,0,57.5,0.7323,0.18,0.6387,1
8.13,49.5,70.9,0,1,1,3,7,7,43.3,53.0,0,78.5,0.7077,0.3467,0.6199,1
5.47,57.0,64.8,3,0,2,2,4,5,59.8,67.5,1,52.2,0.5779,0.2,0.4993,0
6.47,73.3,57.7,2,0,2,1,8,5,66.1,32.2,2,39.1,0.6512,0.16,0.6384,0
5.93,83.8,50.1,0,0,3,0,2,7,70.8,33.1,0,64.8,0.631,0.18,0.5525,0
6.14,65.3,82.7,0,0,2,2,6,4,76.9,67.1,1,49.0,0.6769,0.2,0.5708,0
7.26,90.8,78.4,0,0,3,1,3,4,50.2,60.2,0,65.0,0.786,0.22,0.4006,1
4.91,63.4,85.6,2,2,1,2,4,4,69.7,91.5,1,18.1,0.6178,0.4733,0.4892,0
7.88,69.1,73.2,2,2,1,0,5,5,41.3,43.0,0,55.7,0.7495,0.3933,0.474,1
8.03,59.0,40.0,0,0,3,2,4,4,56.6,66.5,1,50.5,0.6491,0.26,0.4498,1
6.92,83.9,51.8,2,0,1,1,1,2,67.0,50.8,2,37.7,0.6855,0.1,0.3111,0
4.47,97.2,74.0,0,1,3,1,6,4,75.6,69.4,3,33.2,0.6516,0.3867,0.5667,1
6.1,50.9,63.2,0,0,4,5,6,4,68.3,68.1,1,50.0,0.5903,0.44,0.5448,1
8.56,67.8,60.7,1,2,1,1,5,5,59.6,54.5,0,35.8,0.7493,0.4333,0.5289,1
4.14,87.2,53.7,0,1,3,0,5,4,56.6,42.4,2,15.0,0.5593,0.3467,0.4797,1
6.82,54.6,80.3,1,2,2,1,4,6,67.9,49.2,2,33.8,0.6783,0.4933,0.5636,1
5.9,78.8,73.9,0,0,1,1,2,1,97.4,36.1,1,33.1,0.6769,0.1,0.3922,0
8.09,86.7,74.5,1,3,2,2,2,5,73.4,61.2,3,55.5,0.8072,0.7,0.4801,1
6.46,72.9,59.8,3,1,2,5,6,8,64.9,20.0,1,33.6,0.6546,0.4867,0.6946,0
7.64,78.6,70.3,0,1,5,3,7,3,33.4,45.1,3,55.0,0.7545,0.5867,0.4301,1
7.82,93.1,50.6,0,2,1,2,6,5,42.8,70.4,3,37.8,0.7505,0.4733,0.5084,1
9.22,95.4,66.3,1,1,3,2,6,4,52.2,70.0,3,69.1,0.8652,0.4267,0.4965,1
6.98,71.3,40.0,0,0,1,1,6,4,74.4,27.6,0,61.7,0.627,0.1,0.5631,0
7.61,65.6,47.6,1,1,1,4,6,2,41.1,64.9,0,49.6,0.6637,0.3867,0.3834,0
5.57,61.0,63.8,1,2,2,2,4,8,69.6,35.6,1,57.6,0.5902,0.5333,0.6487,1
8.51,83.7,98.9,0,2,3,0,5,5,60.2,48.6,2,65.3,0.882,0.5133,0.5305,1
6.36,55.5,44.6,2,1,3,4,4,3,64.4,68.0,0,56.1,0.5685,0.5067,0.4332,0
6.58,69.0,51.8,0,1,4,2,4,3,54.1,38.4,0,57.5,0.6312,0.4867,0.4023,1
7.18,73.2,70.8,0,0,1,0,7,5,47.3,79.3,1,17.1,0.7189,0.06,0.5518,0
5.48,66.0,91.0,0,0,2,2,8,1,40.5,59.4,1,45.7,0.6665,0.2,0.4014,0
7.45,75.4,70.6,1,1,1,1,1,7,69.0,62.9,2,41.0,0.7375,0.2667,0.517,0
8.26,100.0,77.1,3,0,3,0,5,3,56.6,73.3,4,73.9,0.856,0.18,0.4399,1
7.52,70.5,63.6,0,0,0,1,4,5,38.6,70.1,1,48.0,0.7115,0.04,0.4358,0
5.45,66.8,61.4,0,1,1,2,7,5,62.0,68.7,0,42.9,0.593,0.3067,0.5961,1
7.06,84.2,69.1,0,1,3,1,2,6,100.0,43.8,2,65.5,0.7363,0.3867,0.6,1
8.02,74.9,59.4,1,1,2,0,1,5,54.4,36.1,1,27.7,0.7366,0.2867,0.3931,0
5.13,89.3,77.4,0,0,2,1,6,6,87.8,50.2,1,53.4,0.6734,0.16,0.6833,1
6.02,74.0,47.1,0,0,5,1,7,7,20.0,63.1,1,19.4,0.6036,0.34,0.55,1
8.16,69.0,79.6,0,1,2,2,2,4,53.1,33.1,1,42.0,0.7797,0.3667,0.3794,0
7.5,50.6,68.5,0,2,2,1,5,9,75.2,64.9,0,46.7,0.6726,0.4933,0.7356,1
7.65,52.6,65.2,1,0,5,0,8,5,58.3,61.4,1,81.2,0.6771,0.3,0.6148,0
9.25,50.0,46.6,0,2,3,1,3,4,46.4,51.9,3,52.3,0.7038,0.5533,0.3893,1
7.72,76.6,55.3,0,1,1,1,5,3,57.5,56.0,3,39.0,0.7153,0.2667,0.4426,1
7.92,55.7,83.6,0,2,3,1,6,4,75.7,56.1,2,52.6,0.7443,0.5533,0.5672,1
10.0,87.1,65.3,0,1,2,3,2,5,96.6,62.5,1,80.9,0.8809,0.4067,0.5497,1
6.96,72.4,71.6,0,0,3,1,4,5,77.2,67.7,3,18.0,0.7082,0.22,0.5515,0
6.32,69.1,56.6,0,1,2,0,2,8,48.9,100.0,2,68.9,0.6302,0.2867,0.5267,1
7.67,61.9,67.6,0,1,1,0,5,4,53.8,57.9,1,61.8,0.7073,0.2267,0.4714,1
7.68,79.5,50.2,0,0,3,2,4,6,53.9,44.1,0,52.9,0.7082,0.26,0.5218,1
6.62,62.3,69.3,0,0,0,1,5,2,42.4,22.6,2,49.4,0.6601,0.04,0.3572,0
6.06,60.2,72.8,1,1,3,2,6,9,55.2,31.1,2,80.9,0.6357,0.4267,0.7056,1
9.74,86.3,72.2,0,1,3,2,7,2,53.1,42.1,1,67.9,0.8831,0.4267,0.4492,1
7.56,76.3,56.3,0,2,5,0,9,9,36.4,66.7,0,36.3,0.7092,0.6333,0.7392,1
6.39,69.2,63.6,1,0,0,1,5,4,73.1,48.3,1,55.4,0.6516,0.04,0.5293,0
8.21,79.7,75.0,0,0,2,4,4,1,65.6,61.9,1,77.4,0.7971,0.28,0.3567,1
7.08,72.1,65.3,0,3,1,1,4,7,46.5,42.6,0,64.7,0.6974,0.6,0.5394,1
6.92,76.6,64.3,2,0,2,2,3,5,60.7,62.7,1,59.7,0.6982,0.2,0.472,0
7.82,62.2,92.7,0,0,2,2,6,4,40.6,69.8,0,31.5,0.7783,0.2,0.4619,1
5.78,96.8,55.6,2,2,2,1,4,6,48.1,48.2,2,96.6,0.6702,0.4933,0.5042,1
7.59,65.0,82.0,0,3,2,3,6,6,70.4,62.4,1,68.0,0.7471,0.74,0.6311,1
9.3,90.7,53.0,2,1,4,0,3,5,66.5,47.5,1,87.1,0.8244,0.4067,0.4894,1
7.71,69.7,76.5,2,0,1,1,4,7,48.8,34.1,3,60.4,0.7513,0.1,0.5463,0
6.79,81.7,77.2,0,1,2,2,6,5,63.6,64.4,1,54.7,0.7365,0.3667,0.5708,1
6.64,80.8,61.4,0,2,3,4,5,6,56.7,62.0,1,43.4,0.6875,0.6733,0.56,1
6.75,85.8,52.2,1,2,1,0,2,3,40.0,65.1,0,72.6,0.6823,0.3933,0.3001,0
6.92,61.9,42.4,0,0,3,2,5,6,55.0,71.2,2,82.0,0.6068,0.26,0.555,1
6.78,84.9,60.0,0,2,3,0,4,3,65.8,50.8,1,73.7,0.7015,0.5133,0.4373,1
8.21,94.2,74.8,3,1,3,2,7,2,63.5,52.0,1,95.6,0.8329,0.4267,0.4805,0
5.29,68.9,54.0,1,0,2,1,7,4,27.5,50.2,1,57.4,0.5719,0.16,0.4526,0
8.15,72.4,69.3,3,0,3,1,1,4,61.0,60.9,2,43.8,0.7616,0.22,0.373,0
6.78,65.7,48.8,2,0,5,4,6,6,58.5,52.6,1,59.6,0.6254,0.46,0.5954,0
7.61,67.8,65.0,2,2,0,2,6,2,23.8,57.1,1,69.5,0.7127,0.4133,0.3315,0
5.96,92.5,53.1,1,0,2,0,2,7,43.5,42.7,2,50.3,0.6621,0.12,0.4704,0
8.66,59.9,67.0,1,1,3,5,7,3,66.8,37.5,1,54.2,0.7504,0.5467,0.5305,1
8.57,60.7,61.5,2,0,0,1,3,1,82.9,39.6,2,58.8,0.734,0.04,0.3788,0
8.26,91.3,52.5,1,1,2,2,7,2,28.5,62.1,1,63.9,0.7724,0.3667,0.3754,1
5.53,79.5,59.4,0,1,2,2,4,4,75.6,54.3,4,57.4,0.624,0.3667,0.5069,1
8.11,97.4,55.9,1,2,1,3,2,5,24.2,46.6,1,58.8,0.7889,0.5133,0.3325,1
7.65,66.6,50.9,0,1,2,1,9,4,83.2,66.3,2,66.4,0.6761,0.3267,0.6795,1
5.43,73.5,82.1,3,1,3,2,2,2,53.7,79.8,1,68.8,0.6607,0.4267,0.3011,0
7.17,64.1,63.3,1,1,0,2,4,3,45.1,46.6,1,46.1,0.6771,0.2467,0.3754,0
7.6,73.7,40.0,1,1,1,1,4,2,64.4,36.6,1,21.9,0.6643,0.2667,0.3931,0
7.81,50.7,59.9,0,2,3,4,4,5,40.7,71.1,1,36.3,0.6671,0.6733,0.442,1
7.39,80.2,79.9,0,1,3,1,6,4,67.3,55.3,1,63.3,0.77,0.3867,0.5419,1
7.52,75.9,58.1,0,2,2,1,5,6,55.8,51.9,2,41.8,0.711,0.4933,0.5573,1
8.82,71.3,87.5,1,0,2,2,7,1,20.0,72.3,1,59.8,0.838,0.2,0.31,1
8.55,67.3,56.9,1,1,1,0,6,3,43.4,50.5,2,54.0,0.7379,0.2267,0.4302,0
4.05,61.3,74.5,0,2,3,3,2,9,61.4,61.8,0,56.2,0.5418,0.6333,0.6043,1
6.85,80.7,81.5,0,2,1,1,6,6,77.2,57.7,1,63.8,0.7481,0.4333,0.6516,1
7.02,57.9,73.9,0,1,4,1,5,4,64.0,100.0,1,76.4,0.6804,0.4467,0.5019,1
5.27,78.1,50.1,0,1,3,2,4,3,76.9,52.7,1,54.7,0.5843,0.4267,0.4707,1
7.3,96.9,55.7,2,2,0,3,9,7,41.9,70.9,2,36.2,0.7468,0.4533,0.6757,1
8.57,89.8,83.2,2,0,2,2,6,8,71.1,50.7,0,60.6,0.8613,0.2,0.7133,1
6.0,53.9,57.5,1,2,4,0,7,2,71.4,62.7,0,67.8,0.5789,0.5733,0.5042,1
7.57,65.6,80.7,0,0,3,1,7,2,28.6,51.7,1,15.0,0.7441,0.22,0.3759,0
6.19,77.1,62.4,0,0,2,3,4,5,77.8,68.5,0,42.0,0.6583,0.24,0.5534,1
6.46,71.2,69.8,3,1,1,4,6,5,63.9,53.4,0,55.5,0.6755,0.3867,0.5717,0
8.83,55.2,50.0,4,0,2,2,6,5,52.9,63.6,2,46.4,0.7042,0.2,0.5388,0
6.6,76.6,60.1,0,0,2,2,4,8,52.6,42.1,0,57.4,0.672,0.2,0.5979,1
7.71,71.9,56.6,1,0,2,1,3,3,39.3,41.5,1,43.8,0.7067,0.16,0.3279,0
5.14,95.0,70.9,0,3,1,1,5,5,69.4,23.0,1,71.9,0.6718,0.6,0.5581,1
9.25,69.0,69.2,0,1,4,1,6,6,63.4,61.2,0,55.9,0.8079,0.4467,0.6103,1
7.86,86.0,74.0,4,3,2,0,5,6,68.5,44.0,0,22.6,0.7932,0.62,0.5955,0
7.0,56.8,61.6,3,0,1,0,5,3,59.4,92.3,0,68.2,0.646,0.06,0.4483,0
7.83,59.7,55.9,4,0,1,2,5,3,61.7,47.0,0,69.3,0.6806,0.14,0.4551,0
5.65,80.7,70.4,0,0,1,2,4,4,52.7,76.2,1,54.3,0.66,0.14,0.438,1
8.5,85.0,54.6,0,0,2,1,8,8,77.4,74.5,2,21.9,0.7741,0.16,0.7921,1
6.84,60.5,82.0,2,0,1,3,5,3,68.9,50.8,1,71.2,0.6985,0.18,0.4767,0
6.98,72.3,66.5,1,0,2,1,4,4,61.1,42.5,1,36.6,0.6958,0.16,0.4633,0
6.66,55.4,63.8,0,1,1,2,2,6,55.6,52.7,0,48.5,0.6309,0.3067,0.4667,1
6.56,69.8,74.0,0,1,1,3,5,2,26.2,74.3,3,44.7,0.6876,0.3467,0.3085,1
7.96,82.0,67.0,0,0,1,3,4,5,22.3,93.9,1,29.1,0.7708,0.18,0.3868,0
7.48,66.8,46.4,1,1,2,3,4,1,51.4,34.0,0,55.1,0.6571,0.4067,0.3141,0
7.92,69.0,54.2,2,0,2,3,7,5,80.8,55.2,1,58.6,0.7039,0.24,0.6525,1
7.19,58.4,81.8,0,1,2,1,5,5,45.3,44.7,4,57.0,0.71,0.3267,0.4859,1
7.76,64.2,69.1,0,1,3,2,2,5,46.0,48.9,1,51.2,0.7215,0.4267,0.3981,1
6.74,93.1,46.1,0,2,2,3,6,3,40.5,84.0,0,41.6,0.6851,0.5733,0.4215,1
9.65,72.9,72.6,1,2,2,1,2,5,34.8,41.9,0,81.4,0.8463,0.4933,0.3643,1
5.48,60.0,60.7,0,0,0,2,6,4,41.5,27.7,2,58.3,0.5755,0.08,0.4646,0
8.59,68.2,56.6,0,1,2,0,4,7,63.0,58.4,2,38.2,0.7415,0.2867,0.589,1
8.7,52.8,53.1,1,2,0,2,5,6,49.1,61.5,0,62.9,0.7001,0.4133,0.5374,1
6.26,59.8,81.0,0,2,2,0,5,2,48.3,47.8,0,61.6,0.6652,0.4533,0.375,0
